<<<<<<< HEAD
Year,Measure,Fishery,Value
1985,Landed value,Food and bait,1.06
1985,Landings,Food and bait,1.37
1985,Wholesale value,Food and bait,3.02
1985,Landed value,Roe herring,62.05
1985,Landings,Roe herring,24.59
1985,Wholesale value,Roe herring,100.12
1985,Landed value,Spawn on kelp,0
1985,Landings,Spawn on kelp,0
1985,Wholesale value,Spawn on kelp,0
1985,Landed value,Total,63.11
1985,Landings,Total,25.96
1985,Wholesale value,Total,103.13
1986,Landed value,Food and bait,0.6
1986,Landings,Food and bait,0.76
1986,Wholesale value,Food and bait,2.83
1986,Landed value,Roe herring,45.61
1986,Landings,Roe herring,15.73
1986,Wholesale value,Roe herring,85.45
1986,Landed value,Spawn on kelp,0
1986,Landings,Spawn on kelp,0
1986,Wholesale value,Spawn on kelp,0
1986,Landed value,Total,46.21
1986,Landings,Total,16.49
1986,Wholesale value,Total,88.29
1987,Landed value,Food and bait,0.53
1987,Landings,Food and bait,0.78
1987,Wholesale value,Food and bait,3.52
1987,Landed value,Roe herring,106.82
1987,Landings,Roe herring,37.03
1987,Wholesale value,Roe herring,170.13
1987,Landed value,Spawn on kelp,0
1987,Landings,Spawn on kelp,0
1987,Wholesale value,Spawn on kelp,0
1987,Landed value,Total,107.35
1987,Landings,Total,37.81
1987,Wholesale value,Total,173.65
1988,Landed value,Food and bait,1.34
1988,Landings,Food and bait,1.53
1988,Wholesale value,Food and bait,3.68
1988,Landed value,Roe herring,95.12
1988,Landings,Roe herring,30.07
1988,Wholesale value,Roe herring,171.86
1988,Landed value,Spawn on kelp,0
1988,Landings,Spawn on kelp,0
1988,Wholesale value,Spawn on kelp,0
1988,Landed value,Total,96.46
1988,Landings,Total,31.6
1988,Wholesale value,Total,175.54
1989,Landed value,Food and bait,0.53
1989,Landings,Food and bait,0.59
1989,Wholesale value,Food and bait,3.3
1989,Landed value,Roe herring,75.79
1989,Landings,Roe herring,40.42
1989,Wholesale value,Roe herring,154.48
1989,Landed value,Spawn on kelp,0
1989,Landings,Spawn on kelp,0
1989,Wholesale value,Spawn on kelp,0
1989,Landed value,Total,76.32
1989,Landings,Total,41.01
1989,Wholesale value,Total,157.78
1990,Landed value,Food and bait,1.57
1990,Landings,Food and bait,0.97
1990,Wholesale value,Food and bait,4.41
1990,Landed value,Roe herring,71.6
1990,Landings,Roe herring,40.08
1990,Wholesale value,Roe herring,153.9
1990,Landed value,Spawn on kelp,8.3
1990,Landings,Spawn on kelp,0.22
1990,Wholesale value,Spawn on kelp,8.3
1990,Landed value,Total,81.47
1990,Landings,Total,41.28
1990,Wholesale value,Total,169.27
1991,Landed value,Food and bait,0.64
1991,Landings,Food and bait,1.13
1991,Wholesale value,Food and bait,3.08
1991,Landed value,Roe herring,48.78
1991,Landings,Roe herring,38.61
1991,Wholesale value,Roe herring,132.94
1991,Landed value,Spawn on kelp,8.85
1991,Landings,Spawn on kelp,0.29
1991,Wholesale value,Spawn on kelp,8.85
1991,Landed value,Total,58.27
1991,Landings,Total,40.03
1991,Wholesale value,Total,144.87
1992,Landed value,Food and bait,0.84
1992,Landings,Food and bait,0.94
1992,Wholesale value,Food and bait,3.55
1992,Landed value,Roe herring,50.7
1992,Landings,Roe herring,33.64
1992,Wholesale value,Roe herring,120.32
1992,Landed value,Spawn on kelp,8.77
1992,Landings,Spawn on kelp,0.28
1992,Wholesale value,Spawn on kelp,8.95
1992,Landed value,Total,60.32
1992,Landings,Total,34.87
1992,Wholesale value,Total,132.81
1993,Landed value,Food and bait,0.88
1993,Landings,Food and bait,1.11
1993,Wholesale value,Food and bait,3.74
1993,Landed value,Roe herring,70.38
1993,Landings,Roe herring,39.94
1993,Wholesale value,Roe herring,152.73
1993,Landed value,Spawn on kelp,11.78
1993,Landings,Spawn on kelp,0.27
1993,Wholesale value,Spawn on kelp,11.87
1993,Landed value,Total,83.04
1993,Landings,Total,41.32
1993,Wholesale value,Total,168.34
1994,Landed value,Food and bait,0.45
1994,Landings,Food and bait,0.69
1994,Wholesale value,Food and bait,6.73
1994,Landed value,Roe herring,72.73
1994,Landings,Roe herring,39.95
1994,Wholesale value,Roe herring,166.01
1994,Landed value,Spawn on kelp,17.1
1994,Landings,Spawn on kelp,0.26
1994,Wholesale value,Spawn on kelp,17.13
1994,Landed value,Total,90.27
1994,Landings,Total,40.9
1994,Wholesale value,Total,189.86
1995,Landed value,Food and bait,0.48
1995,Landings,Food and bait,0.5
1995,Wholesale value,Food and bait,6.41
1995,Landed value,Roe herring,70.72
1995,Landings,Roe herring,26.28
1995,Wholesale value,Roe herring,179.17
1995,Landed value,Spawn on kelp,22.38
1995,Landings,Spawn on kelp,0.26
1995,Wholesale value,Spawn on kelp,22.38
1995,Landed value,Total,93.57
1995,Landings,Total,27.04
1995,Wholesale value,Total,207.96
1996,Landed value,Food and bait,0.2
1996,Landings,Food and bait,0.39
1996,Wholesale value,Food and bait,2.55
1996,Landed value,Roe herring,77.23
1996,Landings,Roe herring,21.84
1996,Wholesale value,Roe herring,164.9
1996,Landed value,Spawn on kelp,22.22
1996,Landings,Spawn on kelp,0.35
1996,Wholesale value,Spawn on kelp,22.22
1996,Landed value,Total,99.65
1996,Landings,Total,22.57
1996,Wholesale value,Total,189.67
1997,Landed value,Food and bait,0.2
1997,Landings,Food and bait,0.3
1997,Wholesale value,Food and bait,1.7
1997,Landed value,Roe herring,49
1997,Landings,Roe herring,31.2
1997,Wholesale value,Roe herring,97.8
1997,Landed value,Spawn on kelp,17.7
1997,Landings,Spawn on kelp,0.41
1997,Wholesale value,Spawn on kelp,17.7
1997,Landed value,Total,66.9
1997,Landings,Total,31.91
1997,Wholesale value,Total,117.2
1998,Landed value,Food and bait,1.7
1998,Landings,Food and bait,0.6
1998,Wholesale value,Food and bait,2.8
1998,Landed value,Roe herring,26
1998,Landings,Roe herring,32.9
1998,Wholesale value,Roe herring,96
1998,Landed value,Spawn on kelp,8.9
1998,Landings,Spawn on kelp,0.4
